-1.12,3.895,7.739,0
-0.965,3.557,7.155,19
-0.825,3.271,6.629,20
-0.725,3.012,6.216,20
-0.592,2.772,5.836,30
-0.473,2.555,5.14,21
-0.417,2.308,4.212,19
-0.341,2.086,3.524,20
-0.332,1.886,3.223,21
-0.532,1.706,2.832,20
-0.789,1.509,2.29,20
-0.856,1.169,2.027,19
-0.685,0.793,1.944,20
-0.47,0.541,1.715,20
-0.448,0.461,1.527,20
-0.49,0.544,1.564,20
-0.458,0.662,1.588,20
-0.369,0.665,1.584,20
-0.315,0.59,1.547,20
-0.499,0.462,1.461,20
-0.406,0.286,1.375,20
-0.348,0.309,1.1,21
-0.348,0.244,0.791,19
-0.295,0.168,0.643,20
-0.206,0.185,0.527,20
-0.15,0.21,0.302,20
-0.118,0.215,0.229,20
-0.089,0.228,0.318,20
-0.089,0.248,0.32,20
-0.14,0.249,0.228,20
-0.143,0.233,0.214,20
-0.112,0.175,0.339,20
-0.092,0.149,0.357,20
-0.169,0.125,0.166,20
-0.316,-0.016,0.132,20
-0.318,-0.195,0.196,21
-0.114,-0.27,0.099,20
-0.034,-0.235,-0.065,19
-0.125,-0.263,-0.153,20
-0.104,-0.245,0.042,20
-0.206,-0.04,0.52,20
-0.521,0.11,0.727,20
-0.719,0.03,0.663,20
-0.595,-0.282,0.605,20
-0.286,-0.633,0.295,20
-0.154,-0.846,-0.087,20
-0.19,-0.796,-0.018,20
-0.145,-0.518,0.388,20
-0.044,-0.25,0.513,20
0.037,-0.096,0.168,20
0.128,-0.061,0.005,20
0.279,-0.029,0.185,20
0.423,0.016,0.089,20
0.484,0.049,-0.117,20
0.556,0.139,-0.097,20
0.354,0.401,0.007,20
-0.068,0.344,0.135,20
-0.225,-0.181,0.337,20
-0.185,-0.534,0.364,20
-0.132,-0.472,-0.008,21
-0.162,-0.226,-0.326,20
-0.111,-0.135,-0.259,19
0.011,-0.112,-0.095,20
-0.041,-0.075,-0.103,21
-0.114,-0.033,-0.075,20
-0.12,-0.056,0.302,19
-0.013,-0.102,0.237,21
0.056,0.045,-0.259,19
0.231,0.161,-0.052,21
0.631,0.111,0.469,19
0.766,0.117,0.069,21
-0.103,0.002,-0.678,20
-0.808,-0.204,-0.826,20
-0.77,-0.339,-0.666,19
-0.788,-0.486,-0.341,20
-0.821,-0.506,0.235,20
-0.903,-0.473,0.617,20
-0.993,-0.589,0.572,21
-0.954,-0.703,0.765,19
-0.618,-0.546,1.301,21
-0.013,-0.181,1.567,20
0.238,-0.086,1.074,19
-0.001,-0.129,0.131,20
-0.173,0.03,-0.657,20
0.085,0.285,-1.212,20
0.343,0.446,-1.479,20
0.102,0.453,-1.529,20
-0.226,0.417,-1.281,20
-0.272,0.228,-1.024,20
-0.107,-0.173,-0.818,20
0.084,-0.742,-0.159,20
0.36,-1.107,0.623,20
0.884,-0.893,1.337,20
1.528,-0.536,1.763,20
1.927,-0.241,1.673,20
1.95,0.101,1.101,20
1.401,0.142,0.37,20
0.416,-0.198,-0.218,21
-0.098,-0.532,-0.299,19
0.419,-0.608,0.178,20
1.127,-0.607,0.35,20
0.98,-0.607,0.151,20
-0.031,-0.701,0.144,21
-0.95,-1.019,0.233,20
-1.07,-1.219,0.494,20
-0.834,-1.14,0.626,20
-0.871,-0.931,0.572,19
-1.034,-0.778,-0.079,20
-0.345,-0.579,-0.338,20
0.68,-0.09,-0.503,20
0.173,0.056,-0.021,20
-0.8,-0.328,0.643,20
-0.789,-0.519,0.588,20
-0.788,-0.502,-0.013,20
-1.011,-0.607,-0.348,20
-1.091,-0.572,-0.296,20
-1.171,-0.489,-0.223,20
-1.157,-0.509,-0.132,21
-1.016,-0.475,-0.015,29
-0.793,-0.324,-0.1,21
-0.559,-0.18,-0.133,20
-0.434,-0.084,0.0,20
-0.382,0.001,-0.076,20
-0.292,0.173,-0.362,19
-0.021,0.432,-0.395,20
0.083,0.466,-0.105,20
-0.217,0.109,0.06,20
-0.083,0.202,0.011,20
0.484,0.733,0.061,20
0.608,0.866,-0.082,20
0.504,0.926,-0.539,20
0.488,0.972,-0.666,20
0.62,0.848,-0.289,20
0.748,0.755,-0.036,20
0.716,0.774,-0.067,21
0.808,0.55,-0.034,19
1.038,0.237,0.046,20
0.83,0.566,-0.113,20
0.334,1.113,-0.636,20
0.257,1.019,-0.693,21
