0.42,-0.562,8.835,0
0.356,-0.484,7.941,20
0.316,-0.399,7.162,20
0.304,-0.387,6.401,20
0.267,-0.333,5.784,20
0.24,-0.311,5.195,20
0.207,-0.301,4.675,20
0.17,-0.251,4.225,20
0.168,-0.21,3.789,21
0.162,-0.199,3.4,20
0.136,-0.204,3.051,20
0.123,-0.15,2.778,20
0.119,-0.141,2.493,20
0.108,-0.157,2.222,20
0.087,-0.126,2.01,20
0.094,-0.106,1.845,21
0.077,-0.088,1.653,20
0.071,-0.121,1.455,20
0.07,-0.083,1.282,20
0.063,-0.058,1.193,20
0.049,-0.081,1.087,20
0.034,-0.081,0.97,20
0.047,-0.067,0.847,21
0.043,-0.019,0.76,20
0.031,-0.012,0.691,20
0.03,-0.04,0.632,20
0.016,-0.036,0.568,20
0.014,-0.039,0.525,20
0.02,-0.047,0.467,20
0.015,-0.011,0.442,21
0.025,-0.021,0.386,20
0.006,-0.016,0.312,20
-0.002,-0.001,0.289,20
0.001,-0.001,0.282,20
0.005,-0.017,0.242,20
0.018,-0.03,0.247,20
0.011,-0.021,0.217,21
0.019,-0.041,0.23,20
0.0,-0.126,0.284,20
-0.003,-0.175,0.328,20
0.0,-0.234,0.453,20
0.043,-0.213,0.519,20
0.116,-0.088,0.283,20
-0.062,0.139,0.546,21
-0.129,0.448,-0.229,20
0.029,0.844,-1.148,20
0.086,0.621,-1.005,20
-0.033,0.041,0.128,20
-0.047,-0.158,0.251,20
-0.034,0.074,0.118,20
-0.013,0.234,0.094,21
-0.029,0.03,0.085,20
-0.026,-0.021,0.094,20
0.002,0.085,0.088,20
-0.007,0.08,0.058,20
-0.028,-0.071,0.069,20
-0.028,-0.038,0.081,20
-0.017,0.18,0.089,21
-0.015,0.08,0.029,20
-0.019,-0.045,0.052,20
-0.01,0.023,0.062,20
-0.007,0.058,0.103,20
-0.008,0.071,-0.081,20
0.003,0.037,-0.093,20
-0.006,0.035,0.013,21
0.011,0.122,0.087,20
-0.026,0.094,0.056,20
-0.002,0.036,-0.029,20
0.0,0.117,0.057,20
0.162,0.44,0.259,20
-0.201,-0.185,0.55,20
-0.021,-0.213,-0.471,21
0.005,-0.255,-0.345,20
0.012,0.158,0.294,20
-1.028,-0.444,-0.323,20
-4.417,-0.306,0.42,20
-1.909,0.343,-0.332,20
-1.845,-0.621,-0.113,20
6.064,0.735,-0.145,21
-1.281,-2.72,0.37,20
1.272,-0.505,0.201,20
3.488,1.463,-0.095,20
3.622,1.762,-0.051,20
-0.509,-0.134,0.209,20
-0.658,-0.214,-0.064,20
-0.507,-0.028,0.016,21
-0.506,-0.114,-0.037,20
-0.433,-0.111,-0.022,20
-0.358,-0.056,0.0,20
-0.324,-0.047,0.018,20
-0.296,-0.047,-0.018,20
-0.288,-0.057,-0.046,20
-0.248,-0.029,-0.019,21
-0.226,-0.014,-0.005,20
-0.202,-0.039,-0.023,20
-0.175,-0.005,0.017,20
-0.167,-0.048,-0.124,20
-0.15,-0.07,-0.021,20
-0.144,-0.039,0.087,20
-0.108,-0.042,0.129,21
