1.051,0.534,8.55,0
0.946,0.472,7.721,20
0.86,0.459,6.966,20
0.782,0.396,6.226,20
0.687,0.373,5.646,20
0.627,0.327,5.064,20
0.573,0.277,4.523,20
0.498,0.267,4.114,19
0.465,0.223,3.694,21
0.402,0.235,3.307,20
0.37,0.168,2.968,20
0.324,0.177,2.714,20
0.292,0.16,2.426,20
0.289,0.144,2.192,20
0.225,0.121,1.946,20
0.211,0.091,1.76,20
0.19,0.099,1.584,20
0.18,0.089,1.443,19
0.17,0.089,1.299,21
0.145,0.089,1.152,20
0.121,0.037,1.045,20
0.118,0.067,0.923,20
0.106,0.069,0.839,19
0.087,0.054,0.755,20
0.087,0.031,0.714,21
0.069,0.019,0.617,20
0.088,0.069,0.547,20
0.062,0.045,0.492,19
0.056,0.049,0.451,21
0.033,-0.007,0.423,20
0.047,0.027,0.346,20
0.051,0.042,0.338,20
0.037,-0.013,0.295,20
0.025,0.005,0.266,20
0.031,0.021,0.213,19
0.036,0.028,0.209,21
0.033,0.008,0.197,20
0.012,0.015,0.177,20
0.028,0.022,0.151,20
0.008,0.012,0.136,20
0.007,-0.023,0.148,20
0.006,-0.081,0.211,20
-0.002,-0.082,0.224,20
0.023,-0.03,0.176,20
0.064,-0.019,0.098,20
0.04,0.0,0.234,20
0.045,-0.008,0.194,20
0.023,0.104,-0.014,20
-0.056,0.18,0.003,20
-0.042,0.394,-0.263,20
-0.063,0.148,-0.237,20
-0.014,-0.081,0.053,20
-0.021,0.012,0.022,20
-0.036,0.028,0.02,20
-0.007,0.042,-0.024,20
0.028,-0.28,0.02,20
0.033,-0.329,0.044,20
0.004,-0.202,0.169,20
-0.021,0.068,0.066,20
-0.036,0.302,-0.087,20
-0.041,0.548,-0.069,20
-0.063,0.329,-0.2,20
-0.022,0.107,-0.042,19
-0.011,0.242,0.065,21
-0.027,0.304,-0.079,19
0.061,-0.285,0.023,21
-0.1,0.233,-0.634,20
-1.615,1.434,0.532,20
-0.876,1.523,-0.184,20
0.46,-2.084,-0.019,19
1.38,-3.126,0.146,21
1.319,-1.063,0.373,20
-0.458,0.456,0.62,20
-1.033,0.712,0.825,19
0.345,1.778,-3.023,20
0.13,0.773,-0.144,21
-0.02,1.187,0.275,20
-0.087,0.241,0.316,20
-0.07,-0.877,0.009,20
0.445,-0.462,0.154,20
1.029,-1.441,0.13,20
1.426,-1.125,0.065,20
0.603,1.004,0.361,20
-0.413,0.446,0.057,20
-0.32,0.436,0.051,19
-0.314,0.401,-0.013,21
-0.248,0.327,0.091,20
-0.223,0.251,0.056,20
-0.209,0.295,-0.044,20
-0.18,0.256,0.106,19
-0.084,0.041,0.19,21
-0.119,0.011,0.0,20
-0.141,0.122,0.094,20
-0.144,0.317,0.05,20
-0.121,0.233,-0.083,19
-0.144,0.149,0.002,20
-0.103,0.143,0.019,21
-0.076,0.155,-0.086,19
-0.103,0.156,-0.069,21
-0.041,-0.005,0.118,20
-0.088,0.236,0.029,19
-0.053,0.1,-0.102,21
-0.031,-0.012,0.079,20
-0.019,-0.045,-0.014,19
-0.034,0.044,0.047,21
-0.039,0.048,0.025,20
-0.053,0.069,-0.011,20
-0.03,0.062,-0.019,20
-0.027,-0.02,0.103,19
-0.042,-0.036,0.024,21
-0.012,0.174,-0.09,20
-0.019,-0.015,0.048,20
0.008,-0.108,0.0,20
-0.087,0.143,0.017,20
-0.121,0.094,-0.027,20
-0.049,-0.069,-0.05,19
-0.044,-0.028,-0.054,21
0.167,-0.008,0.089,20
-0.056,0.052,0.045,20
-0.111,0.142,0.023,19
0.08,-0.009,-0.064,21
-0.073,0.06,0.114,20
-0.031,0.079,0.033,19
0.057,-0.1,0.159,21
-0.068,-0.15,0.048,20
-0.062,0.148,-0.154,19
-0.116,0.237,-0.147,21
0.033,-0.131,-0.011,20
0.073,-0.221,-0.045,19
0.031,-0.199,0.002,21
-0.04,-0.05,0.027,20
-0.053,0.075,-0.104,20
0.02,-0.044,-0.024,20
0.035,-0.031,-0.013,19
-0.036,-0.157,-0.02,21
0.13,-0.003,-0.139,19
-0.037,0.177,0.469,21
-0.033,-0.107,-0.017,20
-0.245,-1.061,0.699,20
-1.91,-3.05,-1.068,20
-2.478,2.598,0.159,20
1.665,-1.255,-4.631,20
4.3,0.964,1.821,20
0.465,2.247,1.337,19
-0.554,0.453,0.316,20
-0.637,-0.022,0.155,21
-0.375,0.203,0.019,20
-0.191,0.011,0.129,20
-0.111,-0.024,0.28,20
-0.048,-0.082,0.062,20
0.033,-0.108,-0.09,20
0.133,-0.08,-0.331,20
-0.138,-0.02,0.175,20
-0.098,0.11,0.158,20
-0.019,-0.012,0.056,19
-0.052,0.049,0.0,21
-0.064,0.216,-0.061,20
-0.014,-0.175,0.332,20
0.029,-0.209,0.04,20
-0.007,-0.025,0.123,20
-0.084,-0.022,0.36,19
0.251,-0.571,-0.097,21
0.657,-0.187,0.567,20
-0.735,0.064,-0.11,20
-0.593,1.428,-0.133,20
-0.533,1.768,-0.628,19
0.234,-0.296,0.244,21
-0.021,0.569,0.219,20
-0.441,-0.073,0.094,20
0.861,-0.997,-0.345,20
0.292,-0.216,-0.182,20
0.211,-0.082,-0.043,20
0.035,-0.393,0.167,19
0.057,-0.095,-0.167,21
0.034,-0.068,0.047,20
0.056,-0.087,0.24,20
0.033,-0.053,-0.162,20
0.047,-0.065,-0.042,20
0.034,-0.041,0.064,20
