0.206,0.448,8.627,0
0.194,0.394,7.773,19
0.166,0.363,6.987,20
0.15,0.318,6.288,20
0.1,0.287,5.659,20
0.185,0.344,5.119,20
0.046,0.172,4.581,20
0.144,0.335,4.115,20
0.078,0.19,3.712,21
0.088,0.154,3.349,20
0.07,0.121,3.006,19
0.063,0.143,2.722,20
0.048,0.12,2.424,20
0.052,0.108,2.199,20
0.047,0.097,1.97,20
0.042,0.079,1.773,20
0.046,0.088,1.596,20
0.042,0.062,1.436,20
0.029,0.056,1.284,20
0.026,0.067,1.164,20
0.032,0.043,1.048,21
0.029,0.048,0.926,19
0.026,0.043,0.859,20
0.023,0.038,0.782,20
0.012,0.026,0.695,20
0.019,0.041,0.617,20
0.009,0.036,0.555,20
0.0,0.024,0.508,20
0.008,0.03,0.448,20
0.024,0.019,0.386,20
-0.003,0.025,0.374,20
0.005,0.014,0.336,20
0.004,0.021,0.294,20
0.004,0.002,0.273,21
-0.004,0.01,0.246,19
0.004,0.018,0.23,20
0.012,0.007,0.198,20
0.002,0.007,0.17,20
-0.014,0.014,0.135,21
0.003,0.013,0.148,19
0.003,0.003,0.124,20
0.02,-0.005,0.112,20
0.009,0.012,0.118,20
0.0,-0.006,0.089,20
0.0,-0.005,0.088,21
0.008,0.003,0.071,19
0.0,0.011,0.055,20
0.0,-0.006,0.05,20
-0.009,0.002,0.045,20
0.008,-0.006,0.066,20
0.008,0.011,0.051,20
-0.001,0.019,0.046,20
0.007,0.0,0.041,20
0.006,0.0,0.045,20
0.005,0.0,0.024,21
-0.003,0.008,0.03,20
-0.002,0.016,0.018,19
-0.011,-0.002,0.025,20
0.007,-0.01,0.014,20
-0.002,0.016,0.021,20
0.006,0.014,0.01,20
0.005,-0.004,0.018,20
0.005,0.004,0.016,20
0.004,0.004,-0.011,20
-0.004,0.012,0.015,21
0.004,0.002,0.005,19
-0.004,-0.006,0.005,20
-0.003,0.011,0.013,20
-0.003,0.001,-0.005,20
-0.003,0.001,0.003,20
-0.011,0.001,-0.005,20
-0.001,-0.007,0.012,20
0.007,-0.006,0.002,20
-0.002,-0.014,0.011,21
-0.002,-0.013,-0.007,19
0.006,-0.011,0.019,20
-0.002,-0.001,0.0,20
-0.002,0.006,0.008,20
-0.019,0.006,0.0,20
-0.008,0.005,0.016,20
0.009,0.013,-0.002,20
0.0,0.003,-0.002,20
0.0,0.003,0.006,20
0.0,-0.005,0.014,20
0.008,-0.005,0.004,20
0.0,0.004,0.004,20
0.016,-0.004,0.003,20
-0.002,0.004,0.011,20
-0.01,0.003,-0.006,20
0.016,-0.013,0.002,20
-0.002,-0.003,-0.006,20
0.006,0.005,0.003,21
0.005,0.004,-0.014,19
-0.003,-0.004,0.021,20
-0.011,0.013,0.002,20
-0.01,0.003,-0.006,20
0.007,-0.005,-0.006,20
-0.001,0.003,-0.005,20
0.007,0.003,-0.004,20
0.006,-0.014,0.012,20
-0.002,0.004,-0.005,20
-0.002,-0.004,-0.005,20
-0.002,0.004,0.004,20
0.006,-0.004,-0.005,20
-0.002,-0.004,-0.004,20
-0.011,-0.003,-0.012,20
-0.001,0.005,0.005,20
-0.001,0.004,-0.003,20
-0.009,0.004,-0.003,20
0.0,-0.004,-0.002,20
0.0,0.004,0.023,20
0.017,0.003,0.012,20
-0.001,-0.005,-0.006,20
-0.001,-0.004,0.011,20
-0.01,-0.004,0.01,20
0.008,-0.003,0.0,20
-0.001,-0.003,0.0,20
-0.018,0.014,-0.016,20
0.009,0.004,0.002,20
0.0,-0.004,-0.006,20
0.0,0.012,0.002,20
0.0,-0.014,-0.006,20
0.008,0.004,0.003,20
-0.001,-0.004,0.011,20
0.007,0.004,0.001,20
-0.001,-0.004,-0.015,20
-0.001,-0.012,0.054,20
-0.001,-0.002,-0.011,20
-0.001,-0.002,0.007,20
-0.001,0.014,-0.01,20
-0.018,0.004,0.0,20
-0.007,-0.004,0.033,20
-0.205,0.013,0.435,20
0.306,-0.091,-1.064,20
-1.775,-0.065,-0.001,20
-4.218,1.742,0.438,20
4.719,-1.663,-0.088,20
-0.312,-1.324,0.101,20
1.089,-0.416,0.349,20
-0.346,1.822,0.599,20
-0.432,-0.643,1.59,20
-1.277,-1.725,0.707,20
-0.287,-0.751,-0.25,20
-0.069,0.564,0.67,20
1.506,1.801,0.008,20
2.174,3.655,0.473,20
4.094,-0.571,1.055,20
1.297,-0.221,1.242,20
3.408,1.455,2.489,20
4.869,0.387,3.369,20
6.226,-0.142,1.265,20
7.871,1.319,-4.756,20
4.851,0.188,-3.798,20
4.857,-0.442,-2.909,20
1.967,0.946,0.725,20
-0.142,0.067,0.454,20
-2.55,1.439,2.753,20
-2.286,2.666,2.124,21
5.673,2.235,2.903,19
7.027,1.357,2.664,20
